# id x y z
8812
0 5.87782 1 -1
1 5.87782 -1 -1
2 5.87782 1 1
3 5.87782 -1 1
4 -5.87782 1 -1
5 -5.87782 -1 -1
6 -5.87782 1 1
7 -5.87782 -1 1
8 -5.87782 -1 -0.818182
9 -5.87782 -1 -0.636364
10 -5.87782 -1 -0.454545
11 -5.87782 -1 -0.272727
12 -5.87782 -1 -0.090909
13 -5.87782 -1 0.090909
14 -5.87782 -1 0.272727
15 -5.87782 -1 0.454545
16 -5.87782 -1 0.636364
17 -5.87782 -1 0.818182
18 4.80912 -1 -1
19 3.74043 -1 -1
20 2.67174 -1 -1
21 1.60304 -1 -1
22 0.534347 -1 -1
23 -0.534347 -1 -1
24 -1.60304 -1 -1
25 -2.67174 -1 -1
26 -3.74043 -1 -1
27 -4.80912 -1 -1
28 5.87782 0.818182 -1
29 5.87782 0.636364 -1
30 5.87782 0.454545 -1
31 5.87782 0.272727 -1
32 5.87782 0.090909 -1
33 5.87782 -0.090909 -1
34 5.87782 -0.272727 -1
35 5.87782 -0.454545 -1
36 5.87782 -0.636364 -1
37 -5.87782 -0.636364 1
38 -5.87782 -0.454545 1
39 -5.87782 -0.272727 1
40 -5.87782 -0.090909 1
41 -5.87782 0.090909 1
42 -5.87782 0.272727 1
43 -5.87782 0.454545 1
44 -5.87782 0.636364 1
45 -5.87782 0.818182 1
46 5.87782 0.636364 1
47 5.87782 0.454545 1
48 5.87782 0.272727 1
49 5.87782 0.090909 1
50 5.87782 -0.090909 1
51 5.87782 -0.272727 1
52 5.87782 -0.454545 1
53 5.87782 -0.636364 1
54 5.87782 -0.818182 1
55 -5.87782 0.636364 -1
56 -5.87782 0.454545 -1
57 -5.87782 0.272727 -1
58 -5.87782 0.090909 -1
59 -5.87782 -0.090909 -1
60 -5.87782 -0.272727 -1
61 -5.87782 -0.454545 -1
62 -5.87782 -0.636364 -1
63 -5.87782 -0.818182 -1
64 4.80912 1 1
65 3.74043 1 1
66 2.67174 1 1
67 1.60304 1 1
68 0.534347 1 1
